place_id,name,address,city,latitude,longitude,category,average_rating,review_count,is_active
ChIJiUsd5ss0K4gRZi8epUfvW7M,Tsujiri Dundas,"147 Dundas St W, Toronto, ON M5E 0A8, Canada",Toronto,43.6552562,-79.3854066,matcha,0.0,0,true
ChIJ_4mh5R0jK4gR5D3nXkKlpJk,My Tea Bar,"10960 Goreway Dr Unit A1, Brampton, ON L6P 0M4, Canada",Toronto,43.7911423,-79.7390245,coffee,0.0,0,true
ChIJ__8DpMQ0K4gRPNzVwLvVVkA,ICHA TEA,"235 Spadina Ave. Unit 4, Toronto, ON M5T 2E2, Canada",Toronto,43.65141759999999,-79.39706249999999,matcha,0.0,0,true
ChIJYVYq2dM1K4gRfcM9bX59Mms,Machi Machi,"575 Yonge St, Toronto, ON M4Y 1Z2, Canada",Toronto,43.6656019,-79.3846081,matcha,0.0,0,true
ChIJO4Y0YI7L1IkRaZ0Nndyhf7A,MATCHA MATCHA,"407 Church St, Toronto, ON M5B 1J2, Canada",Toronto,43.6623054,-79.37926019999999,other,0.0,0,true
ChIJr037itg1K4gR5azKyeCrlUU,Bloom Cafe,"596 Yonge St, Toronto, ON M4Y 1Z3, Canada",Toronto,43.6655121,-79.3850598,coffee,0.0,0,true
ChIJuRZu1P0tK4gRKcl8VLpAR60,M Chá Bar (Yonge & Finch),"5291 Yonge St, North York, ON M2N 5R3, Canada",Toronto,43.7728133,-79.4134942,coffee,0.0,0,true
ChIJRT9nSxjV1IkR9kDXAUhZmFg,MATCHA MATCHA (Showroom Only),"11 Fairburn Dr Unit 8, Markham, ON L6G 0A4, Canada",Toronto,43.8477764,-79.3487871,matcha,0.0,0,true
ChIJw26CNU81K4gRYW3fc1AS8QI,Lait Night,"81 Huron St Main Floor, Toronto, ON M5T 2A8, Canada",Toronto,43.65382290000001,-79.3962054,coffee,0.0,0,true
ChIJZeYKSADN1IkR9laWV6JHqwA,ESPRO Coffee Bar,"2102 Queen St E, Toronto, ON M4E 1E2, Canada",Toronto,43.671316,-79.295695,coffee,0.0,0,true
ChIJIReZTgA1K4gRaRGA314COoo,Matcha Haus,"324 Bathurst St, Toronto, ON M5T 2S3, Canada",Toronto,43.6515255,-79.4058755,other,0.0,0,true
ChIJ2xiWzjY1K4gR_T-Vr6kUkzw,ICHA TEA,"996 Queen St W, Toronto, ON M6J 1H1, Canada",Toronto,43.6444142,-79.4185057,matcha,0.0,0,true
ChIJr9bSJWo1K4gRPEKxDWMFYYQ,M Chá Bar (Bloor & Bathurst),"491 Bloor St W, Toronto, ON M5S 1Y2, Canada",Toronto,43.6657203,-79.40777589999999,matcha,0.0,0,true
ChIJLybpObczK4gRYq5SnCjdHtU,M Chá Bar (Yonge & Eglinton) In The Alley,"2409 Yonge St, Toronto, ON M4P 1Y6, Canada",Toronto,43.7104322,-79.3986006,coffee,0.0,0,true
ChIJRXVVQLc1K4gRO2UIC0ZcT6s,M Chá Bar (Dundas & Bay) x ORYZA Sushi,"120 Dundas St W, Toronto, ON M5G 1C3, Canada",Toronto,43.655764,-79.38441809999999,matcha,0.0,0,true
ChIJeZUuank1K4gRK2IF-58ptmA,MATCHA MATCHA,"294 Dundas St W, Toronto, ON M5T 1G2, Canada",Toronto,43.6545071,-79.3912893,other,0.0,0,true
ChIJe7SlZZHL1IkRK7Q2XA01Gzw,M2 Cocktail Bar,"INSIDE MATCHA MATCHA, 403 Church St, Toronto, ON M4Y 0C9, Canada",Toronto,43.6622383,-79.37933269999999,matcha,0.0,0,true
ChIJMUa4KKY1K4gRpyjPOJhn6Bo,My Tea Bar,"1205 Queen St W Unit 8, Toronto, ON M6K 0B9, Canada",Toronto,43.6418081,-79.4286882,coffee,0.0,0,true
ChIJZ4LxPAA1K4gRRGw8fugVSQ8,TonTon Matcha + Coffee,"100 Western Battery Rd #1, Toronto, ON M6K 3S2, Canada",Toronto,43.6392724,-79.4158464,other,0.0,0,true
ChIJZxSEfwA1K4gRlL54puqkYek,520 Cafe Bar,"520 Richmond St W, Toronto, ON M5V 1Y4, Canada",Toronto,43.64742469999999,-79.39950429999999,coffee,0.0,0,true
ChIJx6oLhjzT1IkRX5UwPrnszug,MATCHA MATCHA Lab,"200 Steelcase Rd E Unit 5, Markham, ON L3R 1G2, Canada",Toronto,43.821662,-79.3447322,other,0.0,0,true
